                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1904,                 3.6663,                 1.9346,                0.49039,                0.29032,                0.20379,                0.08937,                 1.8257,                 2.3678,                 1.6273,             0.00023701,             0.00023701,             0.00023701
                      2,                 1.8848,                 2.6141,                 1.6479,                0.57737,                0.31624,                0.28621,                0.12684,                 1.7623,                  2.101,                 1.6302,              0.0004515,              0.0004515,              0.0004515
                      3,                 1.8767,                 2.3427,                 1.6467,                0.27885,                 0.3624,                0.27547,                 0.1236,                 1.7354,                 1.9338,                   1.63,             0.00064242,             0.00064242,             0.00064242
                      4,                 1.8265,                 2.1481,                  1.605,                0.59083,                 0.3599,                0.33015,                 0.1552,                  1.708,                 1.7585,                 1.5953,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.7805,                 2.0278,                 1.5838,                0.61461,                0.36244,                0.35162,                0.16276,                 1.6655,                 1.7988,                 1.5704,             0.00060797,             0.00060797,             0.00060797
                      6,                 1.7524,                 1.9678,                 1.5591,                0.63592,                 0.3634,                0.37303,                0.18376,                  1.623,                 1.6962,                 1.5365,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.7236,                 1.9084,                 1.5354,                0.58425,                0.38462,                0.36943,                0.18052,                 1.6401,                 1.7031,                 1.5537,             0.00053728,             0.00053728,             0.00053728
                      8,                 1.7058,                 1.8603,                 1.5171,                0.62063,                0.36622,                0.34567,                0.16747,                 1.6076,                 1.8069,                 1.5128,             0.00050194,             0.00050194,             0.00050194
                      9,                 1.6796,                 1.8142,                 1.5058,                0.67181,                0.37691,                0.38962,                0.18883,                 1.5916,                 1.6102,                 1.5107,              0.0004666,              0.0004666,              0.0004666
                     10,                 1.6532,                 1.7839,                 1.4929,                0.63772,                0.44014,                0.40638,                0.20602,                 1.5176,                 1.5532,                 1.4793,             0.00043126,             0.00043126,             0.00043126
                     11,                 1.6094,                 1.7301,                 1.5026,                0.64753,                0.40325,                0.41102,                0.20755,                 1.5654,                 1.6489,                 1.4775,             0.00039591,             0.00039591,             0.00039591
                     12,                 1.5867,                 1.6723,                 1.4875,                0.66597,                0.42068,                 0.4239,                0.21615,                 1.5298,                 1.5724,                 1.4922,             0.00036057,             0.00036057,             0.00036057
                     13,                 1.5669,                 1.6396,                 1.4661,                0.70881,                0.43021,                0.46261,                0.23711,                 1.5493,                 1.5013,                 1.4791,             0.00032523,             0.00032523,             0.00032523
                     14,                 1.5531,                 1.6268,                 1.4599,                0.70073,                0.44268,                0.48621,                0.24313,                 1.5308,                 1.4678,                 1.4658,             0.00028988,             0.00028988,             0.00028988
                     15,                 1.5403,                 1.5716,                 1.4417,                0.69318,                0.44511,                0.47366,                0.24556,                 1.5142,                 1.5243,                 1.4485,             0.00025454,             0.00025454,             0.00025454
                     16,                 1.5196,                 1.5393,                 1.4351,                0.42324,                0.51883,                 0.4989,                0.26295,                 1.5269,                 1.4261,                  1.447,              0.0002192,              0.0002192,              0.0002192
                     17,                  1.509,                 1.5228,                 1.4353,                0.70447,                 0.4578,                0.50853,                0.26871,                 1.4946,                 1.3954,                 1.4393,             0.00018385,             0.00018385,             0.00018385
                     18,                 1.4828,                 1.4973,                 1.4183,                0.67062,                0.47958,                0.50677,                0.27079,                 1.4676,                  1.382,                 1.4322,             0.00014851,             0.00014851,             0.00014851
                     19,                 1.4725,                 1.4706,                 1.4001,                0.71196,                0.47994,                0.50615,                0.26984,                 1.4709,                 1.3993,                 1.4221,             0.00011317,             0.00011317,             0.00011317
                     20,                 1.4644,                 1.4532,                 1.3992,                0.48457,                0.45709,                0.51929,                0.28646,                 1.4645,                  1.361,                 1.4155,             7.7826e-05,             7.7826e-05,             7.7826e-05
